"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"1358","Reorganization of taxonomic, functional, and phylogenetic ant biodiversity after conversion to rubber plantation","ECOLOGICAL MONOGRAPHS","Cong","fei","no","either",NA,"babynames.com","Ivette","Perfecto","female","Okinawa Institute of Science & Technology","University of Michigan"
"1359","Canine Spontaneous Head and Neck Squamous Cell Carcinomas Represent Their Human Counterparts at the Molecular Level","PLOS GENETICS","Deli","kong","no","female",NA,"babycenter.com","Peter","Hammerman","male","University of Georgia","Dana Farber Cancer Institute"
"1360","Local Transcriptional Control of YUCCA Regulates Auxin Promoted Root-Growth Inhibition in Response to Aluminium Stress in Arabidopsis","PLOS GENETICS","Guangchao","roland","no","male",NA,"babynames.com","Hao","Yu","male","Shandong University","National University of Singapore"
"1361","Termites amplify the effects of wood traits on decomposition rates among multiple bamboo and dicot woody species","JOURNAL OF ECOLOGY","Guofang","amundrud","no",NA,NA,"","Amy","Austin","female","Hangzhou Normal University","University of Buenos Aires"
"1362","Functional Conservation of Both CDS- and 3'-UTR-Located MicroRNA Binding Sites between Species","MOLECULAR BIOLOGY AND EVOLUTION","Guojing","pires","no",NA,NA,"","Bing","Su","male","Chinese Academy of Sciences","Kunming Institute of Zoology"
"1363","Functional Conservation of Both CDS- and 3 '-UTR-Located MicroRNA Binding Sites between Species (vol 32 pg 623, 2015)","MOLECULAR BIOLOGY AND EVOLUTION",NA,"romero","no",NA,NA,"","",NA,NA,"",""
"1364","Divergence in Enzymatic Activities in the Soybean GST Supergene Family Provides New Insight into the Evolutionary Dynamics of Whole-Genome Duplicates","MOLECULAR BIOLOGY AND EVOLUTION","Hai-Jing","faurby","no",NA,NA,"","Michael","Purugganan","male","Chinese Academy of Sciences","New York University"
"1365","Nitrogen addition affects chemical compositions of plant tissues, litter and soil organic matter","ECOLOGY","Jun","weir","no","male",NA,"babynames.com","Joseph","Yavitt","male","Chinese Academy of Sciences","Cornell University"
"1366","A discrete-beta model for testing gene flow after speciation","METHODS IN ECOLOGY AND EVOLUTION","Junfeng","johnson","yes",NA,NA,"","Louise","Johnson","female","Chinese Academy of Sciences","University of Reading"
"1367","Coalescent Methods Are Robust to the Simultaneous Effects of Long Branches and Incomplete Lineage Sorting","MOLECULAR BIOLOGY AND EVOLUTION","Liang","tucker","no","male",NA,"babynames.com","Hideki","Innan","male","University of Georgia","School of Advanced Sciences"
"1368","Distance-dependent effects of pathogenic fungi on seedlings of a legume tree: impaired nodule formation and identification of antagonistic rhizosphere bacteria","JOURNAL OF ECOLOGY","Lan","cressler","no","female",NA,"babynames.com","Marcel","VanDerHeijden","male","Sun Yat Sen University","Agroscope Reckenholz-Tanikon Research Station"
"1369","Receptor-Like Kinase RUPO Interacts with Potassium Transporters to Regulate Pollen Tube Growth and Integrity in Rice","PLOS GENETICS","Lingtong","drury","no",NA,NA,"","Hao","Yu","male","Chinese Academy of Sciences","National University of Singapore"
"1370","Changes in plant, soil, and microbes in a typical steppe from simulated grazing: explaining potential change in soil C","ECOLOGICAL MONOGRAPHS","N.","esquerre","no",NA,NA,"","Aimee","Classen","female","University of Agriculture","University of Tennessee"
"1371","Geographical variation in vegetative growth and sexual reproduction of the invasive Spartina alterniflora in China","JOURNAL OF ECOLOGY","Wenwen","goolsby","no",NA,NA,"","Richard","Mack","male","Xiamen University","Washington State University"
"1372","Warming and fertilization alter the dilution effect of host diversity on disease severity","ECOLOGY","Xiang","goolsby","no","female",NA,"babynames.com","Jacob","Weiner","male","Fudan University","Royal Veterinary and Agricultural University"
"1373","Linking individual-level functional traits to tree growth in a subtropical forest","ECOLOGY","Xiaojuan","hubert","no",NA,NA,"","Maria","Uriarte","female","Chinese Academy of Sciences","Columbia University"
"1374","Amplification of TLO Mediator Subunit Genes Facilitate Filamentous Growth in Candida Spp.","PLOS GENETICS","Zhongle","kaliontzopoulou","no",NA,NA,"","Geraldine","Butler","female","Geisel School of Medicine Dartmouth","University College Dublin"
"1375","Late Pleistocene Australian Marsupial DNA Clarifies the Affinities of Extinct Megafaunal Kangaroos and Wallabies","MOLECULAR BIOLOGY AND EVOLUTION","Bastien","kostikova","no","male",NA,"babynames.com","Michael","Rosenberg","male","University of Adelaide","Arizona State University"
"1376","A dynamic energy budget for the whole life-cycle of holometabolous insects","ECOLOGICAL MONOGRAPHS","Ana","rohlfs","no","female","female","","Jay","Rosenheim","male","University of Tours","University of California Davis"
"1377","How a multidisciplinary approach involving ethnoecology, biology and fisheries can help explain the spatio-temporal changes in marine fish abundance resulting from climate change","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Josep","valente","no","male",NA,"babynames.com","Carlos","Duarte","male","University of Girona","King Abdullah University"
"1378","Regional diversity reverses the negative impacts of an alien predator on local species-poor communities","ECOLOGY","Charlie","cayuela","no","male","male","","Evan","Preisser","male","University of Alberta","University of Rhode Island"
"1379","Evolutionary Paths That Expand Plasmid Host-Range: Implications for Spread of Antibiotic Resistance","MOLECULAR BIOLOGY AND EVOLUTION","Wesley","roca","no","male","male","","Eduardo","Rocha","male","University of Idaho","Institut Pasteur"
"1380","The importance of biodiversity and dominance for multiple ecosystem functions in a human-modified tropical landscape","ECOLOGY","Madelon","barrett","no","female","female","","Nicholas","Gotelli","male","Wageningen University","University of Vermont"
"1381","Structural complexity and component type increase intertidal biodiversity independently of area","ECOLOGY","Lynette","beiler","no","female","female","","Jonathan","Grabowski","male","National University of Singapore","Northeastern University"
"1382","Enhanced facilitation at the extreme end of the aridity gradient in the Atacama Desert: a community-level approach","ECOLOGY","Ramiro","bennett","no","male",NA,"babynames.com","Nicholas","Gotelli","male","University La Serena","University of Vermont"
"1383","Chewing sandpaper: grit, plant apparency, and plant defense in sand-entrapping plants","ECOLOGY","Eric","bunn","no","male","male","","James","Cronin","male","University of California Davis","Louisiana State University"
"1384","The siren song of a sticky plant: Columbines provision mutualist arthropods by attracting and killing passerby insects","ECOLOGY","E.","chapman","no",NA,NA,"","Brian","Inouye","male","University of California Davis","Florida State University"
"1385","Recasting the dynamic equilibrium model through a functional lens: the interplay of trait-based community assembly and climate","JOURNAL OF ECOLOGY","Jessy","chung","yes","female","female","","Frida","Piper","female","Universite Paul Valery","Austral University of Chile"
"1386","Double decomposition: decomposing the variance in subcomponents of male extra-pair reproductive success","JOURNAL OF ANIMAL ECOLOGY","Sylvain","cortois","no","male",NA,"babynames.com","Ben","Sheldon","male","University of Aberdeen","University of Oxford"
"1387","The ecological and evolutionary stability of interspecific territoriality","ECOLOGY LETTERS","Neil","cronin","no","male","male","","Ryan","Norris","male","University of California Los Angeles","University of Guelph"
"1388","Alien plants invade more phylogenetically clustered community types and cause even stronger clustering","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Zdenka","dantas","no",NA,NA,"","Arndt","Hampe","male","Masaryk University","INRA French National Institute for Agricultural Research"
"1389","DNA Damage Regulates Translation through beta-TRCP Targeting of CReP","PLOS GENETICS","Theresa","garzon-lopez","no","female","female","","Gregory","Copenhaver","male","University of California San Francisco","University of North Carolina Chapel Hill"
"1390","Climate warming increases biological control agent impact on a non-target species","ECOLOGY LETTERS","Xinmin","gomez-rodriguez","no",NA,NA,"","Micky","Eubanks","either","Chinese Academy of Sciences","Texas A&M University"
"1391","A generalised random encounter model for estimating animal density with remote sensor data","METHODS IN ECOLOGY AND EVOLUTION","Tim","lamanna","no","either","either","","Nick","Isaac","male","University College London","Centre for Ecology and Hydrology"
"1392","Network analysis of host-virus communities in bats and rodents reveals determinants of cross-species transmission","ECOLOGY LETTERS","Angela","lebrija-trejos","no","female","female","","Jose Maria","Gomez",NA,"Colorado State University","Universidad De Granada"
"1393","Photosynthetic innovation broadens the niche within a single species","ECOLOGY LETTERS","Marjorie","li","no","female","female","","John","Pannell","male","University of Sheffield","University of Lausanne"
"1394","Effects of experimentally simulated pollinator decline on recruitment in two European herbs","JOURNAL OF ECOLOGY","Rebekka","li","no","female",NA,"babynames.com","Nicole","Rafferty","female","Norwegian University of Life Sciences","University of Arizona"
"1395","Experimental simulation of pollinator decline causes community-wide reductions in seedling diversity and abundance","ECOLOGY","Rebekka","liu","no","female",NA,"babynames.com","Randall","Mitchell","male","Norwegian University of Life Sciences","University of Akron"
"1396","Intraspecific diversity buffers the inhibitory effects of soil biota","ECOLOGY","Wenbo","maire","no",NA,NA,"","Joseph","Yavitt","male","Northeast Normal University","Cornell University"
"1397","Climate change-associated tree mortality increases without decreasing water availability","ECOLOGY LETTERS","Yong","soliveres","no",NA,NA,"","Brian","Enquist","male","Lakehead University","University of Arizona"
"1398","Green light: gross primary production influences seasonal stream Nexport by controlling fine-scale N dynamics","ECOLOGY","Anna","tao","no","female","female","","Stuart","Findlay","male","University of Barcelona","Cary Insitute of Ecosystem Studies"
"1399","Modelling range dynamics under global change: which framework and why?","METHODS IN ECOLOGY AND EVOLUTION","Miguel","almberg","yes","male","male","","Justin","Travis","either","University of Adelaide","University of Aberdeen"
"1400","A conifer-angiosperm divergence in the growth vs. shade tolerance trade-off underlies the dynamics of a New Zealand warm-temperate rain forest","JOURNAL OF ECOLOGY","Christopher","betini","no","male","male","","Frank","Gilliam","either","University of Waikato","Marshall University"
"1401","The Pseudoautosomal Regions of the U/V Sex Chromosomes of the Brown Alga Ectocarpus Exhibit Unusual Features","MOLECULAR BIOLOGY AND EVOLUTION","Remy","ford","no","female","female","","Stephen","Wright","male","Universite Paris 06","University of Toronto"
"1402","A high-resolution panorama camera system for monitoring colony-wide seabird nesting behaviour","METHODS IN ECOLOGY AND EVOLUTION","Tim","manlove","no","either","either","","Holger","Schielzeth","male","","Friedrich Schiller University of Jena"
"1403","Effects of species diversity on fine root productivity in diverse ecosystems: a global meta-analysis","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Zilong","rauset","no",NA,NA,"","Peter","VanBodegom","male","Lakehead University","Leiden University"
